FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop,Deaths
1001,Autauga County,AL,31,42904,7
1003,Baldwin County,AL,36.9,175680,22
1005,Barbour County,AL,32.1,19604,5
1007,Bibb County,AL,26.7,17837,2
1009,Blount County,AL,22.6,44571,4
1011,Bullock County,AL,37.8,7995,1
1013,Butler County,AL,31,15174,3
1015,Calhoun County,AL,33,89132,20
1017,Chambers County,AL,25.1,26341,2
1019,Cherokee County,AL,24.7,21249,3
1021,Chilton County,AL,27.3,33837,6
1023,Choctaw County,AL,48.1,10109,1
1025,Clarke County,AL,36,18589,3
1027,Clay County,AL,32.6,10566,3
1029,Cleburne County,AL,26.1,11549,4
1031,Coffee County,AL,30.6,39948,17
1033,Colbert County,AL,39.7,43686,8
1035,Conecuh County,AL,33.4,9593,2
1037,Coosa County,AL,29.7,8916,1
1039,Covington County,AL,28.1,28887,8
1041,Crenshaw County,AL,27.7,10636,1
1043,Cullman County,AL,29.2,64956,12
1045,Dale County,AL,43.4,37984,6
1047,Dallas County,AL,31.3,28521,13
1049,DeKalb County,AL,25.6,54392,6
1051,Elmore County,AL,34.1,63080,12
1053,Escambia County,AL,28.1,28407,7
1055,Etowah County,AL,31.2,80492,18
1057,Fayette County,AL,26.8,12869,2
1059,Franklin County,AL,34.8,23590,-1
1061,Geneva County,AL,31.2,20504,8
1063,Greene County,AL,40.4,6343,2
1065,Hale County,AL,47.2,11279,2
1067,Henry County,AL,33.9,13697,1
1069,Houston County,AL,34.6,81594,12
1071,Jackson County,AL,37.8,40943,7
1073,Jefferson County,AL,46.1,508723,73
1075,Lamar County,AL,33.1,10853,4
1077,Lauderdale County,AL,38.7,74683,16
1079,Lawrence County,AL,39.4,25831,3
1081,Lee County,AL,33.9,129821,13
1083,Limestone County,AL,28.6,76842,8
1085,Lowndes County,AL,38.6,7587,1
1087,Macon County,AL,37.5,14972,3
1089,Madison County,AL,52.1,292195,32
1091,Marengo County,AL,38.3,14616,3
1093,Marion County,AL,28.4,23539,6
1095,Marshall County,AL,34.7,72438,13
1097,Mobile County,AL,36.6,316868,56
1099,Monroe County,AL,32.8,16360,1
1101,Montgomery County,AL,42.4,173598,40
1103,Morgan County,AL,37.1,92334,11
1105,Perry County,AL,38.1,7056,2
1107,Pickens County,AL,37.3,16066,3
1109,Pike County,AL,30,26819,2
1111,Randolph County,AL,28.1,17925,3
1113,Russell County,AL,31.4,43974,4
1115,St. Clair County,AL,29.5,69336,15
1117,Shelby County,AL,27.8,167202,10
1119,Sumter County,AL,39.3,10067,0
1121,Talladega County,AL,27.6,63273,13
1123,Tallapoosa County,AL,30.6,32134,6
1125,Tuscaloosa County,AL,32.7,165385,14
1127,Walker County,AL,37,49388,8
1129,Washington County,AL,31.4,12722,0
1131,Wilcox County,AL,38,7954,3
1133,Winston County,AL,17.1,18864,1
2013,Aleutians East Borough,AK,69,3084,0
2016,Aleutians West Census Area,AK,56.1,4993,0
2020,Anchorage Municipality,AK,59.2,218802,12
2050,Bethel Census Area,AK,72.6,11848,1
2060,Bristol Bay Borough,AK,99.9,687,0
2068,Denali Borough,AK,49.9,1698,0
2070,Dillingham Census Area,AK,51.9,3371,0
2090,Fairbanks North Star Borough,AK,51.5,73845,7
2100,Haines Borough,AK,68.8,2074,0
2110,Juneau City and Borough,AK,72.7,25225,0
2122,Kenai Peninsula Borough,AK,46.3,45527,1
2130,Ketchikan Gateway Borough,AK,63.5,10884,0
2150,Kodiak Island Borough,AK,64,9757,1
2158,Kusilvak Census Area,AK,78.4,4874,0
2164,Lake and Peninsula Borough,AK,62.1,1136,0
2170,Matanuska-Susitna Borough,AK,36.7,79732,14
2180,Nome Census Area,AK,78.2,6544,0
2185,North Slope Borough,AK,37.1,7201,0
2188,Northwest Arctic Borough,AK,62.4,4862,0
2195,Petersburg Census Area,AK,74.5,2605,1
2198,Prince of Wales-Hyder Census Area,AK,53.7,4821,3
2220,Sitka City and Borough,AK,75.1,6740,1
2230,Skagway Municipality,AK,70.8,1001,0
2240,Southeast Fairbanks Census Area,AK,30.6,5175,1
2261,Valdez-Cordova Census Area,AK,58.1,7054,0
2275,Wrangell City and Borough,AK,58.8,2009,0
2282,Yakutat City and Borough,AK,75.9,477,0
2290,Yukon-Koyukuk Census Area,AK,72.4,3771,0
4001,Apache County,AZ,70.4,52462,10
4003,Cochise County,AZ,57.5,98949,13
4005,Coconino County,AZ,68,114726,3
4007,Gila County,AZ,55.8,43364,5
4009,Graham County,AZ,59.9,28485,10
4011,Greenlee County,AZ,42.8,6929,0
4012,La Paz County,AZ,43.2,17602,-2
4013,Maricopa County,AZ,52.5,3432976,570
4015,Mohave County,AZ,36.7,176822,72
4017,Navajo County,AZ,60.4,81804,27
